0,オンボロ風の壁,R,内観・外観：壁紙,,,,9,9,9,,ベーシック,－,ナイトレイブンカレッジ,オンボロ風の内観シリーズ,2
1,オンボロ風の床,R,内観・外観：床,,,,9,9,9,,ベーシック,－,ナイトレイブンカレッジ,オンボロ風の内観シリーズ,2
2,ウサギのぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,ハーツラビュル,オリジナルぬいぐるみシリーズ,50
3,ハイエナたちのぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,サバナクロー,オリジナルぬいぐるみシリーズ,50
4,ポリプスのぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,オクタヴィネル,オリジナルぬいぐるみシリーズ,50
5,オウムのぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,スカラビア,オリジナルぬいぐるみシリーズ,50
6,カラスのぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,ポムフィオーレ,オリジナルぬいぐるみシリーズ,50
7,子分たちのぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,イグニハイド,オリジナルぬいぐるみシリーズ,50
8,手下のぬいぐるみ,SSR,雑貨：小型雑貨,1,,,7,6,5,2,ユニーク,ポップ,ディアソムニア,オリジナルぬいぐるみシリーズ,50
9,ガラ・クチュール（レオナ）,SR,雑貨：衣装,1,,,8,,8,,エレガント,－,なし,フェアリーガラシリーズ,30
10,妖精の鈴,SSR,家具：その他,2,,,12,,12,,エレガント,－,なし,フェアリーガラシリーズ,20
11,妖精たちの装飾（上）①,SR,内観・外観：前景,,,,14,,14,,エレガント,－,なし,フェアリーガラシリーズ,2
12,妖精たちの装飾（上）②,SR,内観・外観：前景,,,,14,,14,,エレガント,－,なし,フェアリーガラシリーズ,2
13,オンボロ風のラグ,R,装飾：ラグ,,9,,9,5,6,3,ベーシック,ポップ,ナイトレイブンカレッジ,－,10
14,オンボロ風の棚,R,家具：収納,1,,,5,5,5,,ベーシック,－,ナイトレイブンカレッジ,－,40
15,オンボロ風のライト,R,装飾：壁装飾,,,1,3,3,3,,ベーシック,－,ナイトレイブンカレッジ,－,10
16,オンボロ風のパーティション,R,装飾：パーティション,1,,,3,3,3,,ベーシック,－,ナイトレイブンカレッジ,－,40
17,ツナ缶タワー,R,雑貨：小型雑貨,1,,,3,3,3,,ベーシック,－,ナイトレイブンカレッジ,－,40
18,オンボロ風の本棚,SR,家具：収納,2,,,6,5,4,2,ベーシック,ポップ,ナイトレイブンカレッジ,－,30
19,オンボロ風の椅子,R,家具：椅子,1,,,5,5,5,,ベーシック,－,ナイトレイブンカレッジ,－,40
20,オンボロ風のソファ,SR,家具：椅子,1,,,4,4,3,1,ポップ,スタイリッシュ,ナイトレイブンカレッジ,－,30
21,オンボロ風の小さい机,R,家具：机,1,,,5,5,5,,ポップ,－,ナイトレイブンカレッジ,－,40
22,スタイリッシュな絵画（黒）,R,装飾：壁装飾,,,1,6,,6,,スタイリッシュ,－,なし,－,10
23,ベーシックなモノクロの絵画,R,装飾：壁装飾,,,1,6,,6,,ベーシック,－,なし,－,10
24,エレガントな金縁の絵画,R,装飾：壁装飾,,,1,6,,6,,エレガント,－,なし,－,10
