2,40,30,50,64,32
3,40,30,50,64,32
4,40,30,50,64,32
5,40,30,50,64,32
6,40,30,50,64,32
7,40,30,50,64,32
8,40,30,50,64,32
9,40,30,50,64,32
10,40,30,80,100,40
11,40,30,80,100,40
12,40,30,80,100,40
13,45,35,80,100,40
14,45,35,80,100,40
15,45,35,80,100,40
16,45,35,80,100,40
17,55,45,80,100,40
18,55,45,80,100,40
19,55,45,80,100,40
20,55,45,80,100,40
21,55,45,110,144,48
22,55,45,110,144,48
23,60,50,110,144,48
24,60,50,110,144,48
25,65,55,110,144,48
26,65,55,110,144,48
27,70,60,110,144,48
28,70,60,110,144,48
29,70,60,110,144,48
30,70,60,140,196,56
31,80,70,280,392,112
32,80,70,280,392,112
33,80,70,280,392,112
34,80,70,280,392,112
35,90,80,280,392,112
36,90,80,280,392,112
37,90,80,280,392,112
38,100,90,280,392,112
39,100,90,280,392,112
40,100,90,280,392,112
